time,window,target_i,C1,C2,C3,C4,C5,C6,Enterobacteriaceae,Lactobacillaceae,Paenibacillaceae
13,11,Lactobacillaceae,-0.026512312016475657,-0.06497895350333176,0.15246968993592908,0.07032118429026143,0.06281561498972461,0.09934061924056654,0.03205088265712271,-0.1344608240533883,-0.20759796882078418
13,11,Paenibacillaceae,0.11036728411206877,0.009957128506407485,0.0760355490533411,0.0632454672327199,0.0808804728737934,-0.03903720621148199,0.007295288150835138,0.0626012502335742,0.037590545689405605
14,12,C1,-0.10422801148029683,-0.08743742047509859,0.12754431537462022,-0.05040173646122712,-0.02504052942799623,0.11044057164202699,0.022870523360394957,-0.15455247715614098,-0.2223634208729374
14,12,C2,0.1005369105343028,0.004570753723611704,0.03817086765328767,0.022218639413878655,0.08625305133943699,-0.050425183143433076,-0.0014656984905156176,0.07002617154416622,0.06371624295032415
14,12,C3,-0.2724823780216891,-0.08081535384586853,0.03380980493909768,-0.0576725213028826,-0.15117022017819934,0.2028035170499877,0.027661675520006288,-0.26138025409013416,-0.3373634167143519
14,12,C4,0.021578784847979298,-0.06355361432200148,0.13371559098401647,-7.993423872557964e-4,0.10108371807732207,0.04563261944763118,0.018288801280381437,-0.08078232085116745,-0.13804710843631982
14,12,C5,-0.11066784745677334,-0.1114116532348433,0.1707834165958814,-0.07350551334873463,-0.024328838814634376,0.1222199403740663,0.029276133426447536,-0.15981236954599903,-0.2532036533976028
14,12,C6,-0.009191728712424975,0.0036774645194224517,-0.013274005329220902,0.014662745144744117,0.006648313774069714,0.011009180281451682,0.002456812902093628,4.6238292879130093e-4,-0.012683074325354636
14,12,Enterobacteriaceae,-0.01770051155622764,-0.008055140567972675,0.004145403275331952,-0.0059327831245863626,-0.01083585481975632,0.012257840614954007,0.001592845197505894,-0.024475708711703226,-0.03107961264863765
14,12,Lactobacillaceae,-0.016433521403528467,-0.05247878859188398,0.1250236932126906,0.0580800164379975,0.04975450936033787,0.07550703533443223,0.02492791402309694,-0.11757063061057964,-0.16764347644637279
14,12,Paenibacillaceae,0.08456660488298781,-0.005747265036592859,0.10139602904747314,0.07204108786854992,0.0906493179670682,-0.002268787767250241,0.015780244871744543,0.04434261158524899,-0.013129256961317393
15,13,C1,-0.1039786105134182,-0.08802471518797828,0.13764335494819738,-0.03579682634233148,-0.014070089851537744,0.12229191440433798,0.0252667955668976,-0.1510380527546484,-0.2292695444333044
15,13,C2,0.09038188366643747,0.0019994499362894335,0.041158558350373305,0.023657832485283806,0.08227832496017906,-0.04043122495231598,-1.1263876181788098e-4,0.062002885399348374,0.05153830401133013
15,13,C3,-0.25601026987106273,-0.07890610498533514,0.04269013208110558,-0.04714461682785363,-0.13414031909187704,0.19887939894166853,0.02791375051391145,-0.24632709385432217,-0.3253572383018905
15,13,C4,0.015837435660314748,-0.062431247895611316,0.13329415106057332,0.004467307560951469,0.09787770242050506,0.05231213762492273,0.01894172427535337,-0.07913654374885051,-0.13965962392930842
15,13,C5,-0.10236773592613017,-0.10304430418717522,0.15838490945912534,-0.06732356841108324,-0.022102817737138535,0.11358513462563076,0.02718445380871248,-0.14765536416048236,-0.23450348396719406
15,13,C6,-0.006262220748749037,0.00550367428368614,-0.018407297330170984,0.010092702060485237,0.0035061361992943974,0.003931125981219154,9.768504951384758e-4,0.0025761313423555638,-0.004600188386534706
15,13,Enterobacteriaceae,-0.016449561144991954,-0.007542514657071936,0.004104744914349506,-0.005329042386206582,-0.009861388483565445,0.011600612041826183,0.0015248866043061176,-0.02273644172917739,-0.029027394108245366
15,13,Lactobacillaceae,-0.027368370562318074,-0.059893495980692386,0.14653212550596503,0.07029355420992649,0.059975728175525954,0.10152462197430835,0.029492317686052226,-0.12169376084737384,-0.19230515610927512
15,13,Paenibacillaceae,0.06943617069807367,-0.013375649691185352,0.1155685691058153,0.07828774542897422,0.09353165173970879,0.02038777578764064,0.01915665827255962,0.03171671090973041,-0.03862883159939814
16,14,C1,-0.10153863858136435,-0.08676531861507417,0.14254679389204758,-0.02510295950719671,-0.006577005228210438,0.12789689293454087,0.026214462498600176,-0.14601072654333394,-0.22885700453296487
