time,window,target_i,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,Enterobacteriaceae,Paenibacillaceae,Ruminococcaceae
10,9,C7,-0.34457369487561806,-0.14224894480396005,-0.3255636928875131,-0.1721954510484681,-0.057928151407434944,0.14800087066753512,0.09718962232860553,0.029140341319810924,-0.06643799680660203,0.03660458813008802,0.12635833895793305,-0.13296359689549275,-0.03385838855030629,-0.07265282033795363,0.02609312869286102,-0.38176592968566847,-0.41736679598193643
10,9,C8,-0.15472981710432973,-0.08397489634382464,-0.15369638928882165,-0.112518848914875,-0.05443969715327246,0.03232639934350316,-0.006848723462955127,-0.01380416014513041,-0.08577367207960558,-0.041673939311082014,-0.004613384174468358,-0.10127796909372055,0.01259264575768412,-0.02350133541235666,-6.199547513096851e-4,-0.04621604913225521,-0.1559375982665638
10,9,C9,-0.1785291301340534,-0.02905729621564523,-0.2481993325689071,-0.19437946037378587,-0.04933974166295908,0.06050297106947367,0.023394287675276872,0.056426885321276515,-0.07341649217044348,-0.08246471287032626,0.021511026482111777,-0.22720376821901475,-0.04246746297885574,-0.005639437298266179,0.0037892168736098635,-0.08601755532741684,-0.23956998482438652
10,9,C10,-0.06033606860615524,0.11741557607750448,-0.13979124163702264,0.025505287402058572,0.021048500565073014,0.10629061939173895,0.1678504529813218,0.08872918406032594,0.16717413125017222,0.01027455740162829,0.17717662597063502,-0.027815419517139495,-0.12462703251589331,0.04075911892599959,0.025317106773950365,-0.36739182748256716,-0.1648631366377456
10,9,C11,-0.2060190962359283,-0.10308943043604592,-0.22632045325034886,-0.16280242808180942,-0.0815877769213808,0.03346649364678806,-0.06031438643814522,-0.017822931908782536,-0.05880803252778383,-0.09196661100713081,-0.03407178042909332,-0.10465012094363571,-0.036672577951036206,-0.07239401704313123,-0.009698161292346132,0.031815346600300616,-0.1701531991996738
10,9,C12,0.08590784750869739,0.2188734956140076,-0.07592400052040969,0.021276556190763542,0.02980065355866326,0.03305579584214648,0.08938087530989537,0.10904148580393386,0.21394691181378322,-0.08330129710994093,0.0757839869761126,-0.06065630191488384,-0.17210652778390026,0.061352479437750976,0.0057144189818827355,-0.07201997744883476,0.014211615502053167
10,9,C13,0.10730126997074442,0.053494108633325724,0.11501648212462924,0.18846556689493638,0.07300209998082219,-9.682220467380474e-4,0.04421453620317096,0.01778908542050002,0.08333547764457895,0.13991116348374466,0.06952687047866289,0.19106147776575375,-0.04010392714389395,0.042130964406669975,0.008396192145951933,-0.07583502758546963,0.12085792477030899
10,9,C14,-0.274499664503766,-0.1359069667167443,-0.2597036263709304,-0.1755056415832694,-0.0845733227562454,0.083434245690874,0.012991922705088477,-0.020402262735589573,-0.06158116481490763,-0.040553614863679026,0.013924181386359504,-0.11795384683641756,-0.01743993076471813,-0.09576477764114243,0.008237539103071581,-0.13186377614890327,-0.2879283997682563
10,9,Enterobacteriaceae,-0.03731103835736109,-0.009250208957090122,-0.03730460484687052,-0.01192836572612926,-0.0021020479785596943,0.021226723567877106,0.020334691018482565,0.008846203952923322,-5.416294493047928e-4,0.009970158122437005,0.026689249831137834,-0.011327585726449194,-0.00797956595776087,-0.002194122534629771,0.004328523249560391,-0.06666082436577586,-0.050841867723275674
10,9,Paenibacillaceae,0.4842981516243947,0.2403416890401929,0.46857401575925167,0.23393087414256283,0.10559394064599736,-0.15851546445316267,-0.017464631638638917,-0.0028193741111046766,0.1047016256691236,-0.013978499195203857,-0.09354591200339349,0.11492191843304252,0.0783040038863636,0.13412063682420117,-0.01356487212049555,0.3067792634663819,0.48806522355845605
