Time,Family,Abundance,Abundance.family,Sample
12,[Eubacterium] coprostanoligenes group,0,0,m5
13,Acholeplasmataceae,0,0,m5
13,Akkermansiaceae,0,0,m5
13,Anaerovoracaceae,0,0,m5
13,Atopobiaceae,0,0,m5
13,Bacillaceae,0,0,m5
13,Bacteroidaceae,0,0,m5
13,Beijerinckiaceae,0,0,m5
13,Bifidobacteriaceae,0,0,m5
13,Butyricicoccaceae,0,0,m5
13,Chitinophagaceae,16,3.259319617029945e-4,m5
13,Christensenellaceae,0,0,m5
13,Clostridiaceae,0,0,m5
13,Comamonadaceae,31,6.314931757995519e-4,m5
13,Corynebacteriaceae,0,0,m5
13,Deferribacteraceae,0,0,m5
13,Desulfovibrionaceae,0,0,m5
13,Eggerthellaceae,0,0,m5
13,Enterobacteriaceae,17210,0.35058056630678347,m5
13,Enterococcaceae,0,0,m5
13,Erysipelotrichaceae,0,0,m5
13,Lachnospiraceae,0,0,m5
13,Lactobacillaceae,1592,0.032430230189447955,m5
13,Marinifilaceae,0,0,m5
13,Microbacteriaceae,0,0,m5
13,Monoglobaceae,0,0,m5
13,Muribaculaceae,2,4.074149521287431e-5,m5
13,Oscillospiraceae,0,0,m5
13,Paenibacillaceae,30235,0.6159095538806274,m5
13,Peptococcaceae,0,0,m5
13,Peptostreptococcaceae,0,0,m5
13,Prevotellaceae,0,0,m5
13,Propionibacteriaceae,0,0,m5
13,Rhizobiaceae,4,8.148299042574862e-5,m5
13,Rikenellaceae,0,0,m5
13,Ruminiclostridium,0,0,m5
13,Ruminococcaceae,0,0,m5
13,Saccharimonadaceae,0,0,m5
13,Sutterellaceae,0,0,m5
13,Tannerellaceae,0,0,m5
13,UCG-010,0,0,m5
13,[Eubacterium] coprostanoligenes group,0,0,m5
14,Acholeplasmataceae,0,0,m5
14,Akkermansiaceae,0,0,m5
14,Anaerovoracaceae,0,0,m5
14,Atopobiaceae,0,0,m5
14,Bacillaceae,0,0,m5
14,Bacteroidaceae,0,0,m5
14,Beijerinckiaceae,0,0,m5
14,Bifidobacteriaceae,0,0,m5
14,Butyricicoccaceae,0,0,m5
14,Chitinophagaceae,0,0,m5
14,Christensenellaceae,0,0,m5
14,Clostridiaceae,0,0,m5
14,Comamonadaceae,0,0,m5
14,Corynebacteriaceae,0,0,m5
14,Deferribacteraceae,0,0,m5
14,Desulfovibrionaceae,0,0,m5
14,Eggerthellaceae,0,0,m5
14,Enterobacteriaceae,15805,0.3754959492528094,m5
14,Enterococcaceae,0,0,m5
14,Erysipelotrichaceae,0,0,m5
14,Lachnospiraceae,0,0,m5
14,Lactobacillaceae,1124,0.026704045995581002,m5
14,Marinifilaceae,0,0,m5
14,Microbacteriaceae,0,0,m5
14,Monoglobaceae,0,0,m5
14,Muribaculaceae,0,0,m5
14,Oscillospiraceae,0,0,m5
14,Paenibacillaceae,25162,0.5978000047516097,m5
14,Peptococcaceae,0,0,m5
14,Peptostreptococcaceae,0,0,m5
14,Prevotellaceae,0,0,m5
14,Propionibacteriaceae,0,0,m5
14,Rhizobiaceae,0,0,m5
14,Rikenellaceae,0,0,m5
14,Ruminiclostridium,0,0,m5
14,Ruminococcaceae,0,0,m5
14,Saccharimonadaceae,0,0,m5
14,Sutterellaceae,0,0,m5
14,Tannerellaceae,0,0,m5
14,UCG-010,0,0,m5
14,[Eubacterium] coprostanoligenes group,0,0,m5
15,Acholeplasmataceae,0,0,m5
15,Akkermansiaceae,0,0,m5
15,Anaerovoracaceae,0,0,m5
15,Atopobiaceae,0,0,m5
15,Bacillaceae,0,0,m5
15,Bacteroidaceae,0,0,m5
15,Beijerinckiaceae,0,0,m5
15,Bifidobacteriaceae,0,0,m5
15,Butyricicoccaceae,0,0,m5
15,Chitinophagaceae,8,1.4612672840520942e-4,m5
15,Christensenellaceae,0,0,m5
